Table C.3. Mortality Rates Used in our Forecasts for the 1962-67 Cohort.,,,,,,,,,,,,,,
,Non-Hispanic Black,,,,,Hispanic,,,,,Non-Hispanic White,,,
Age,Edu1,Edu2,Edu3,Edu4,,Edu1,Edu2,Edu3,Edu4,,Edu1,Edu2,Edu3,Edu4
21,0.00604,0.00358,0.00227,0.00148,,0.002,0.00141,0.00099,0.00069,,0.00405,0.00203,0.00119,0.0007
22,0.00584,0.00347,0.0022,0.00143,,0.00193,0.00137,0.00095,0.00066,,0.00392,0.00196,0.00115,0.00068
23,0.00551,0.00327,0.00207,0.00135,,0.00182,0.00129,0.0009,0.00063,,0.0037,0.00185,0.00109,0.00064
24,0.00554,0.00329,0.00209,0.00135,,0.00183,0.0013,0.00091,0.00063,,0.00372,0.00186,0.0011,0.00064
25,0.00548,0.00325,0.00206,0.00134,,0.00181,0.00128,0.0009,0.00062,,0.00368,0.00184,0.00108,0.00063
26,0.00574,0.00341,0.00216,0.0014,,0.0019,0.00134,0.00094,0.00065,,0.00386,0.00193,0.00113,0.00066
27,0.00574,0.00341,0.00216,0.0014,,0.0019,0.00134,0.00094,0.00065,,0.00386,0.00193,0.00113,0.00066
28,0.00604,0.00358,0.00227,0.00148,,0.002,0.00141,0.00099,0.00069,,0.00405,0.00203,0.00119,0.0007
29,0.0065,0.00386,0.00245,0.00159,,0.00215,0.00152,0.00106,0.00074,,0.00436,0.00218,0.00128,0.00075
30,0.00673,0.004,0.00253,0.00164,,0.00222,0.00158,0.0011,0.00077,,0.00452,0.00226,0.00133,0.00078
31,0.00696,0.00413,0.00262,0.0017,,0.0023,0.00163,0.00114,0.00079,,0.00468,0.00234,0.00138,0.00081
32,0.00729,0.00433,0.00274,0.00178,,0.00241,0.00171,0.00119,0.00083,,0.0049,0.00245,0.00144,0.00084
33,0.00795,0.00472,0.00299,0.00194,,0.00263,0.00186,0.0013,0.0009,,0.00534,0.00267,0.00157,0.00092
34,0.00835,0.00496,0.00314,0.00204,,0.00276,0.00195,0.00136,0.00095,,0.00561,0.0028,0.00165,0.00097
35,0.00786,0.00487,0.00312,0.00239,,0.00232,0.00238,0.00147,0.00112,,0.00588,0.00285,0.0019,0.0011
36,0.0072,0.00446,0.00286,0.00219,,0.00213,0.00218,0.00134,0.00103,,0.00538,0.00261,0.00174,0.00101
37,0.00659,0.00409,0.00262,0.00201,,0.00195,0.00199,0.00123,0.00094,,0.00493,0.00239,0.0016,0.00092
38,0.0068,0.00422,0.0027,0.00207,,0.00201,0.00206,0.00127,0.00097,,0.00509,0.00247,0.00165,0.00095
39,0.00723,0.00448,0.00287,0.0022,,0.00214,0.00219,0.00135,0.00103,,0.0054,0.00262,0.00175,0.00101
40,0.0078,0.00484,0.0031,0.00237,,0.00231,0.00236,0.00146,0.00111,,0.00583,0.00283,0.00189,0.00109
41,0.00844,0.00523,0.00335,0.00257,,0.00249,0.00255,0.00157,0.0012,,0.00631,0.00306,0.00204,0.00118
42,0.00895,0.00555,0.00356,0.00272,,0.00264,0.00271,0.00167,0.00128,,0.00669,0.00325,0.00217,0.00125
43,0.00971,0.00602,0.00386,0.00295,,0.00287,0.00294,0.00181,0.00138,,0.00726,0.00352,0.00235,0.00136
44,0.01049,0.00651,0.00417,0.00319,,0.0031,0.00317,0.00196,0.0015,,0.00784,0.00381,0.00254,0.00147
45,0.01084,0.0076,0.00485,0.00377,,0.00306,0.00362,0.00236,0.00195,,0.00787,0.00424,0.00297,0.00195
46,0.01168,0.00819,0.00522,0.00407,,0.0033,0.0039,0.00254,0.0021,,0.00848,0.00457,0.0032,0.0021
47,0.01238,0.00867,0.00553,0.00431,,0.00349,0.00413,0.00269,0.00222,,0.00899,0.00484,0.00339,0.00223
48,0.01292,0.00906,0.00578,0.0045,,0.00365,0.00431,0.00281,0.00232,,0.00939,0.00506,0.00354,0.00233
49,0.01336,0.00936,0.00597,0.00465,,0.00377,0.00446,0.0029,0.0024,,0.0097,0.00522,0.00366,0.00241
50,0.01382,0.00969,0.00618,0.00481,,0.0039,0.00461,0.003,0.00248,,0.01004,0.00541,0.00378,0.00249
51,0.0144,0.01009,0.00644,0.00501,,0.00407,0.0048,0.00313,0.00259,,0.01046,0.00563,0.00394,0.00259
52,0.01521,0.01066,0.0068,0.00529,,0.00429,0.00507,0.00331,0.00273,,0.01104,0.00595,0.00416,0.00274
53,0.01622,0.01137,0.00725,0.00565,,0.00458,0.00541,0.00353,0.00292,,0.01178,0.00634,0.00444,0.00292
54,0.01746,0.01224,0.00781,0.00608,,0.00493,0.00583,0.0038,0.00314,,0.01268,0.00683,0.00478,0.00315
55,0.01342,0.01162,0.00737,0.00638,,0.00517,0.00607,0.00397,0.00383,,0.01087,0.00687,0.00525,0.00366
56,0.01455,0.0126,0.00799,0.00692,,0.00561,0.00659,0.00431,0.00416,,0.01179,0.00745,0.00569,0.00397
57,0.01577,0.01365,0.00865,0.0075,,0.00608,0.00714,0.00467,0.0045,,0.01277,0.00807,0.00617,0.0043
58,0.01708,0.01479,0.00938,0.00812,,0.00658,0.00773,0.00506,0.00488,,0.01383,0.00874,0.00668,0.00466
59,0.0185,0.01601,0.01015,0.00879,,0.00713,0.00837,0.00548,0.00528,,0.01498,0.00947,0.00723,0.00504
60,0.02008,0.01738,0.01102,0.00955,,0.00774,0.00909,0.00595,0.00574,,0.01627,0.01028,0.00785,0.00548
61,0.02187,0.01893,0.012,0.0104,,0.00843,0.0099,0.00648,0.00625,,0.01771,0.0112,0.00855,0.00596
62,0.02387,0.02066,0.0131,0.01135,,0.0092,0.0108,0.00707,0.00682,,0.01933,0.01222,0.00933,0.00651
63,0.02613,0.02261,0.01434,0.01242,,0.01007,0.01182,0.00774,0.00746,,0.02116,0.01337,0.01022,0.00712
64,0.02864,0.02478,0.01572,0.01361,,0.01103,0.01296,0.00848,0.00818,,0.02319,0.01466,0.0112,0.00781
65,0.02148,0.02321,0.01675,0.01491,,0.01157,0.01404,0.00985,0.01026,,0.02016,0.01561,0.01332,0.01035
66,0.02355,0.02544,0.01836,0.01635,,0.01269,0.01539,0.0108,0.01124,,0.0221,0.01711,0.0146,0.01134
67,0.02571,0.02778,0.02004,0.01785,,0.01385,0.0168,0.01179,0.01227,,0.02413,0.01868,0.01594,0.01238
68,0.02796,0.03021,0.0218,0.01941,,0.01506,0.01827,0.01282,0.01335,,0.02624,0.02031,0.01734,0.01347
69,0.03032,0.03276,0.02364,0.02105,,0.01634,0.01981,0.01391,0.01447,,0.02846,0.02203,0.0188,0.0146
70,0.03302,0.03567,0.02574,0.02292,,0.01779,0.02157,0.01514,0.01576,,0.03099,0.02399,0.02047,0.0159
71,0.03598,0.03888,0.02805,0.02498,,0.01939,0.02351,0.0165,0.01718,,0.03377,0.02614,0.02231,0.01733
72,0.039,0.04214,0.03041,0.02707,,0.02101,0.02548,0.01789,0.01862,,0.03661,0.02834,0.02418,0.01879
73,0.04201,0.04539,0.03275,0.02916,,0.02263,0.02745,0.01927,0.02006,,0.03943,0.03052,0.02605,0.02023
74,0.0452,0.04883,0.03524,0.03137,,0.02435,0.02953,0.02073,0.02158,,0.04243,0.03284,0.02802,0.02177
75,0.03829,0.04727,0.03511,0.03058,,0.02329,0.03037,0.02387,0.02579,,0.03987,0.0361,0.03265,0.02732
76,0.04175,0.05154,0.03829,0.03334,,0.0254,0.03312,0.02603,0.02812,,0.04347,0.03937,0.0356,0.02979
77,0.04548,0.05615,0.04171,0.03632,,0.02767,0.03608,0.02836,0.03064,,0.04736,0.04289,0.03879,0.03246
78,0.04948,0.06109,0.04538,0.03952,,0.0301,0.03925,0.03085,0.03333,,0.05152,0.04666,0.0422,0.03531
79,0.05392,0.06657,0.04945,0.04306,,0.0328,0.04277,0.03362,0.03632,,0.05615,0.05085,0.04599,0.03848
80,0.05886,0.07267,0.05399,0.04701,,0.03581,0.04669,0.0367,0.03965,,0.06129,0.05551,0.0502,0.042
81,0.06471,0.07989,0.05935,0.05168,,0.03936,0.05133,0.04034,0.04359,,0.06738,0.06102,0.05519,0.04617
82,0.0719,0.08877,0.06595,0.05743,,0.04374,0.05704,0.04483,0.04843,,0.07487,0.06781,0.06132,0.05131
83,0.08072,0.09966,0.07404,0.06447,,0.04911,0.06403,0.05033,0.05437,,0.08406,0.07612,0.06885,0.0576
84,0.09098,0.11233,0.08345,0.07267,,0.05535,0.07217,0.05673,0.06129,,0.09474,0.0858,0.0776,0.06493
85,0.08494,0.0881,0.07278,0.07883,,0.07051,0.07844,0.07341,0.08369,,0.10473,0.08835,0.08996,0.08868
86,0.09493,0.09846,0.08134,0.0881,,0.0788,0.08767,0.08204,0.09353,,0.11705,0.09874,0.10054,0.0991
87,0.10534,0.10926,0.09026,0.09776,,0.08744,0.09728,0.09103,0.10379,,0.12989,0.10957,0.11156,0.10997
88,0.11611,0.12043,0.0995,0.10776,,0.09638,0.10723,0.10034,0.1144,,0.14317,0.12077,0.12297,0.12122
89,0.12731,0.13204,0.10909,0.11815,,0.10567,0.11756,0.11002,0.12543,,0.15697,0.13241,0.13482,0.1329
90,0.13903,0.1442,0.11913,0.12902,,0.1154,0.12839,0.12015,0.13698,,0.17143,0.14461,0.14724,0.14514
91,0.15139,0.15702,0.12972,0.1405,,0.12566,0.1398,0.13083,0.14916,,0.18667,0.15746,0.16033,0.15805
92,0.16451,0.17063,0.14097,0.15267,,0.13655,0.15192,0.14217,0.16208,,0.20284,0.17111,0.17422,0.17174
93,0.17849,0.18513,0.15294,0.16564,,0.14815,0.16482,0.15425,0.17585,,0.22008,0.18565,0.18902,0.18633
94,0.19343,0.20063,0.16575,0.17951,,0.16056,0.17862,0.16716,0.19058,,0.2385,0.20119,0.20485,0.20193
95,0.2081,0.21584,0.17832,0.19312,,0.17273,0.19217,0.17984,0.20503,,0.25659,0.21645,0.22038,0.21725
96,0.22226,0.23054,0.19046,0.20627,,0.18449,0.20525,0.19208,0.21899,,0.27406,0.23118,0.23539,0.23204
97,0.23564,0.24441,0.20191,0.21868,,0.19559,0.2176,0.20364,0.23216,,0.29055,0.24509,0.24955,0.246
98,0.24798,0.25721,0.21249,0.23014,,0.20584,0.229,0.2143,0.24433,,0.30577,0.25793,0.26262,0.25888
99,0.25895,0.26858,0.22189,0.24031,,0.21494,0.23913,0.22378,0.25513,,0.31929,0.26934,0.27424,0.27033
100,0.27046,0.28053,0.23175,0.251,,0.2245,0.24976,0.23373,0.26647,,0.33348,0.28131,0.28643,0.28235
"Notes: The numbers in this table are mortality rates for racial/ethnic-by-education groups. Edu1, Edu2, Edu3 and Edu4 correspond to groups Less than High School, High School Graduate, Some College, and 4-Year College Graduate, respectively. The mortality rates are constructed as described in the text. Our primary results begin mortality calculations at age-35.",,,,,,,,,,,,,,
